company,companyLabel,companyId,exchangeLabel,ticker,industries,marketCap,marketCapDate,revenue,revenueDate
http://www.wikidata.org/entity/Q117359471,Q117359471,Q117359471,Nasdaq,SPCB,,,,,
http://www.wikidata.org/entity/Q130318284,Q130318284,Q130318284,Nasdaq,SLM,,,,,
http://www.wikidata.org/entity/Q132852489,Q132852489,Q132852489,Nasdaq,WYHG,,,,,
http://www.wikidata.org/entity/Q137754661,Q137754661,Q137754661,Nasdaq,GSIT,,,,,
http://www.wikidata.org/entity/Q138611424,Q138611424,Q138611424,Nasdaq,VWAV,,,,,
http://www.wikidata.org/entity/Q4545752,1-800-Flowers,Q4545752,Nasdaq,FLWS,retail,,,,
http://www.wikidata.org/entity/Q56585268,10X Genomics,Q56585268,Nasdaq,TXG,biotechnology industry,,,,
http://www.wikidata.org/entity/Q5664727,180 Degree Capital,Q5664727,Nasdaq,TINY,,,,,
http://www.wikidata.org/entity/Q4596288,1st Constitution Bancorp,Q4596288,Nasdaq,FCCY,bank,,,,
http://www.wikidata.org/entity/Q4596612,1st Source,Q4596612,Nasdaq,,financial sector,,,,
http://www.wikidata.org/entity/Q25230554,21Vianet,Q25230554,Nasdaq,VNET,,,,,
http://www.wikidata.org/entity/Q5476713,21st Century Fox,Q5476713,Nasdaq,FOXA,journalism; news media; media industry,27000000000,2016-08-01T00:00:00Z,,
http://www.wikidata.org/entity/Q4633233,2U,Q4633233,Nasdaq,TWOU,,,,,
http://www.wikidata.org/entity/Q10846071,36Kr,Q10846071,Nasdaq,KRKR,,,,,
http://www.wikidata.org/entity/Q4636301,3D Systems,Q4636301,New York Stock Exchange,DDD,computer-aided design; 3D printing,1036000000,2019-01-01T00:00:00Z,629000000,2019-01-01T00:00:00Z
http://www.wikidata.org/entity/Q159433,3M,Q159433,New York Stock Exchange,MMM,mining industry; occupational safety; consumer goods industry,50101328208,2024-04-05T00:00:00Z,34229000000,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q124433826,"4D Molecular Therapeutics, Inc.",Q124433826,Nasdaq,FDMT,,,,,
http://www.wikidata.org/entity/Q604775,4Kids Entertainment,Q604775,New York Stock Exchange,KDE,,,,3.31,2012-01-01T00:00:00Z
http://www.wikidata.org/entity/Q85876205,51job.com,Q85876205,Nasdaq,JOBS,,,,,
http://www.wikidata.org/entity/Q17499083,58.com,Q17499083,New York Stock Exchange,WUBA,,,,,
http://www.wikidata.org/entity/Q4643844,7 Days Inn,Q4643844,New York Stock Exchange,,hotel,,,,
http://www.wikidata.org/entity/Q4645515,8x8,Q4645515,New York Stock Exchange,EGHT,,,,,
http://www.wikidata.org/entity/Q4645515,8x8,Q4645515,Nasdaq,EGHT,,,,,
http://www.wikidata.org/entity/Q120997607,908 Devices Inc.,Q120997607,Nasdaq,MASS,,,,,
http://www.wikidata.org/entity/Q4646294,99 Cents Only Stores,Q4646294,New York Stock Exchange,NDN,discount store,,,,
http://www.wikidata.org/entity/Q4648219,A. O. Smith,Q4648219,New York Stock Exchange,AOS,"water collection, treatment and supply",,,,
http://www.wikidata.org/entity/Q4119347,A. T. Cross Company,Q4119347,Nasdaq,ATX,,,,,
http://www.wikidata.org/entity/Q16157155,A10 Networks,Q16157155,New York Stock Exchange,ATEN,computer network,,,,
http://www.wikidata.org/entity/Q286214,AAON,Q286214,Nasdaq,AAON,central heating,,,,
http://www.wikidata.org/entity/Q4649932,AAR Corp,Q4649932,New York Stock Exchange,AIR,aerospace industry,,,830000000,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q52825,ABB Group,Q52825,New York Stock Exchange,ABB,electrical engineering; robotics,51603000000,2022-07-15T00:00:00Z,28945000000,2021-12-31T00:00:00Z
http://www.wikidata.org/entity/Q4650338,ABM Industries,Q4650338,New York Stock Exchange,ABM,facility management,,,,
http://www.wikidata.org/entity/Q30268745,AC Immune,Q30268745,Nasdaq,,,,,,
http://www.wikidata.org/entity/Q288129,ACCO Brands,Q288129,New York Stock Exchange,ACCO,industrial manufacturing,,,,
http://www.wikidata.org/entity/Q4650685,ACI Worldwide,Q4650685,Nasdaq,ACIW,,,,,
http://www.wikidata.org/entity/Q290680,ADT Inc.,Q290680,New York Stock Exchange,ADT,,,,,
http://www.wikidata.org/entity/Q2825507,AECOM,Q2825507,New York Stock Exchange,ACM,construction,,,2770000000,2018-01-01T00:00:00Z
http://www.wikidata.org/entity/Q291508,AES Corporation,Q291508,New York Stock Exchange,AES,electricity generation,,,,
http://www.wikidata.org/entity/Q795300,AFC Enterprises,Q795300,Nasdaq,PLKI,,,,,
http://www.wikidata.org/entity/Q292292,AGCO,Q292292,New York Stock Exchange,AGCO,industrial manufacturing,,,11138000000,2021-01-01T00:00:00Z
http://www.wikidata.org/entity/Q25796,AGL Resources,Q25796,New York Stock Exchange,GAS,natural gas,,,,
http://www.wikidata.org/entity/Q4652302,ALCO Stores,Q4652302,Nasdaq,,retail,,,,
http://www.wikidata.org/entity/Q16974741,AMAG Pharmaceuticals,Q16974741,Nasdaq,AMAG,pharmaceutical industry,,,,
http://www.wikidata.org/entity/Q4652575,AMC Global Media,Q4652575,Nasdaq,AMCX,independent film; specialty channel,,,,
http://www.wikidata.org/entity/Q294721,AMC Theatres,Q294721,New York Stock Exchange,AMC,entertainment,,,,
