canonical_name,ticker,sector,wikidata_id,wikidata_label,ticker_wikidata,industry,country,exchange,aliases
Nvidia,NVDA,Tech,Q182477,Nvidia,,semiconductor industry,United States,Nasdaq,"[""Nvidia"", ""NVIDIA"", ""NVIDIA Corporation"", ""NVDA""]"
Apple,AAPL,Tech,,,,,,,"[""Apple"", ""Apple Inc."", ""AAPL""]"
Alphabet,GOOGL,Tech,,,,,,,"[""Alphabet"", ""Alphabet Inc."", ""Google"", ""GOOGL""]"
Microsoft,MSFT,Tech,Q2283,Microsoft,,software development,United States,Nasdaq,"[""Microsoft"", ""Microsoft Corp."", ""MSFT""]"
Amazon,AMZN,Tech,Q3884,Amazon,,retail,United States,Nasdaq,"[""Amazon"", ""Amazon.com"", ""Amazon.com, Inc."", ""AMZN""]"
Broadcom,AVGO,Tech,Q555925,Broadcom,,semiconductor industry,United States,Nasdaq,"[""Broadcom"", ""Broadcom Inc."", ""AVGO""]"
Meta,META,Tech,Q380,Meta Platforms,,information technology,United States,Nasdaq,"[""Meta"", ""Meta Platforms"", ""Facebook"", ""META""]"
Tesla,TSLA,Tech,Q478214,Tesla,,automotive industry,United States,Nasdaq,"[""Tesla"", ""Tesla Inc."", ""TSLA""]"
Oracle,ORCL,Tech,Q30292006,Oracle,,,Spain,,"[""Oracle"", ""Oracle Corporation"", ""ORCL""]"
AMD,AMD,Tech,,,,,,,"[""AMD"", ""Advanced Micro Devices"", ""AMD Inc.""]"
JPMorgan Chase,JPM,Financials,Q192314,JPMorgan Chase,,economics of banking,United States,New York Stock Exchange,"[""JPMorgan Chase"", ""JPMorgan"", ""JPM""]"
Bank of America,BAC,Financials,Q487907,Bank of America,,financial services,United States,New York Stock Exchange,"[""Bank of America"", ""BofA"", ""BAC""]"
Citigroup,C,Financials,Q219508,Citigroup,,bank,United States,New York Stock Exchange,"[""Citigroup"", ""Citi"", ""C""]"
Wells Fargo,WFC,Financials,Q744149,Wells Fargo,,economics of banking,United States,New York Stock Exchange,"[""Wells Fargo"", ""WFC""]"
Goldman Sachs,GS,Financials,Q193326,Goldman Sachs,,financial services,United States,New York Stock Exchange,"[""Goldman Sachs"", ""Goldman"", ""GS""]"
Morgan Stanley,MS,Financials,Q334204,Morgan Stanley,,financial services,United States,New York Stock Exchange,"[""Morgan Stanley"", ""MS""]"
BlackRock,BLK,Financials,Q219635,BlackRock,,asset management,United States,New York Stock Exchange,"[""BlackRock"", ""BLK""]"
American Express,AXP,Financials,Q194360,American Express,,financial services,United States,New York Stock Exchange,"[""American Express"", ""AmEx"", ""AXP""]"
Charles Schwab,SCHW,Financials,,,,,,,"[""Charles Schwab"", ""SCHW""]"
Mastercard,MA,Financials,Q489921,Mastercard,,financial services,United States,New York Stock Exchange,"[""Mastercard"", ""Mastercard Incorporated"", ""MA""]"
