canonical_name,ticker,sector,wikidata_id,wikidata_label,ticker_wikidata,industry,country,exchange,aliases,aliases_list,gdelt_aliases,gdelt_query
Nvidia,NVDA,Tech,Q182477,Nvidia,,semiconductor industry,United States,Nasdaq,"[""Nvidia"", ""NVIDIA"", ""NVIDIA Corporation"", ""NVDA""]","['Nvidia', 'NVIDIA', 'NVIDIA Corporation', 'NVDA']","['Nvidia', 'NVIDIA', 'NVIDIA Corporation', 'NVDA']","(""Nvidia"" OR ""NVIDIA"" OR ""NVIDIA Corporation"" OR ""NVDA"") AND (""earnings"" OR ""revenue"" OR ""guidance"" OR ""lawsuit"" OR ""acquisition"" OR ""merger"" OR ""regulation"" OR ""downgrade"" OR ""layoffs"" OR ""product launch"")"
Apple,AAPL,Tech,,,,,,,"[""Apple"", ""Apple Inc."", ""AAPL""]","['Apple', 'Apple Inc.', 'AAPL']","['Apple', 'Apple Inc.', 'AAPL']","(""Apple"" OR ""Apple Inc."" OR ""AAPL"") AND (""earnings"" OR ""revenue"" OR ""guidance"" OR ""lawsuit"" OR ""acquisition"" OR ""merger"" OR ""regulation"" OR ""downgrade"" OR ""layoffs"" OR ""product launch"")"
Alphabet,GOOGL,Tech,,,,,,,"[""Alphabet"", ""Alphabet Inc."", ""Google"", ""GOOGL""]","['Alphabet', 'Alphabet Inc.', 'Google', 'GOOGL']","['Alphabet', 'Alphabet Inc.', 'Google', 'GOOGL']","(""Alphabet"" OR ""Alphabet Inc."" OR ""Google"" OR ""GOOGL"") AND (""earnings"" OR ""revenue"" OR ""guidance"" OR ""lawsuit"" OR ""acquisition"" OR ""merger"" OR ""regulation"" OR ""downgrade"" OR ""layoffs"" OR ""product launch"")"
Microsoft,MSFT,Tech,Q2283,Microsoft,,software development,United States,Nasdaq,"[""Microsoft"", ""Microsoft Corp."", ""MSFT""]","['Microsoft', 'Microsoft Corp.', 'MSFT']","['Microsoft', 'Microsoft Corp.', 'MSFT']","(""Microsoft"" OR ""Microsoft Corp."" OR ""MSFT"") AND (""earnings"" OR ""revenue"" OR ""guidance"" OR ""lawsuit"" OR ""acquisition"" OR ""merger"" OR ""regulation"" OR ""downgrade"" OR ""layoffs"" OR ""product launch"")"
Amazon,AMZN,Tech,Q3884,Amazon,,retail,United States,Nasdaq,"[""Amazon"", ""Amazon.com"", ""Amazon.com, Inc."", ""AMZN""]","['Amazon', 'Amazon.com', 'Amazon.com, Inc.', 'AMZN']","['Amazon', 'Amazon.com', 'Amazon.com, Inc.', 'AMZN']","(""Amazon"" OR ""Amazon.com"" OR ""Amazon.com, Inc."" OR ""AMZN"") AND (""earnings"" OR ""revenue"" OR ""guidance"" OR ""lawsuit"" OR ""acquisition"" OR ""merger"" OR ""regulation"" OR ""downgrade"" OR ""layoffs"" OR ""product launch"")"
Broadcom,AVGO,Tech,Q555925,Broadcom,,semiconductor industry,United States,Nasdaq,"[""Broadcom"", ""Broadcom Inc."", ""AVGO""]","['Broadcom', 'Broadcom Inc.', 'AVGO']","['Broadcom', 'Broadcom Inc.', 'AVGO']","(""Broadcom"" OR ""Broadcom Inc."" OR ""AVGO"") AND (""earnings"" OR ""revenue"" OR ""guidance"" OR ""lawsuit"" OR ""acquisition"" OR ""merger"" OR ""regulation"" OR ""downgrade"" OR ""layoffs"" OR ""product launch"")"
Meta,META,Tech,Q380,Meta Platforms,,information technology,United States,Nasdaq,"[""Meta"", ""Meta Platforms"", ""Facebook"", ""META""]","['Meta', 'Meta Platforms', 'Facebook', 'META']","['Meta', 'Meta Platforms', 'Facebook', 'META']","(""Meta"" OR ""Meta Platforms"" OR ""Facebook"" OR ""META"") AND (""earnings"" OR ""revenue"" OR ""guidance"" OR ""lawsuit"" OR ""acquisition"" OR ""merger"" OR ""regulation"" OR ""downgrade"" OR ""layoffs"" OR ""product launch"")"
Tesla,TSLA,Tech,Q478214,Tesla,,automotive industry,United States,Nasdaq,"[""Tesla"", ""Tesla Inc."", ""TSLA""]","['Tesla', 'Tesla Inc.', 'TSLA']","['Tesla', 'Tesla Inc.', 'TSLA']","(""Tesla"" OR ""Tesla Inc."" OR ""TSLA"") AND (""earnings"" OR ""revenue"" OR ""guidance"" OR ""lawsuit"" OR ""acquisition"" OR ""merger"" OR ""regulation"" OR ""downgrade"" OR ""layoffs"" OR ""product launch"")"
Oracle,ORCL,Tech,Q30292006,Oracle,,,Spain,,"[""Oracle"", ""Oracle Corporation"", ""ORCL""]","['Oracle', 'Oracle Corporation', 'ORCL']","['Oracle', 'Oracle Corporation', 'ORCL']","(""Oracle"" OR ""Oracle Corporation"" OR ""ORCL"") AND (""earnings"" OR ""revenue"" OR ""guidance"" OR ""lawsuit"" OR ""acquisition"" OR ""merger"" OR ""regulation"" OR ""downgrade"" OR ""layoffs"" OR ""product launch"")"
AMD,AMD,Tech,,,,,,,"[""AMD"", ""Advanced Micro Devices"", ""AMD Inc.""]","['AMD', 'Advanced Micro Devices', 'AMD Inc.']","['AMD', 'Advanced Micro Devices', 'AMD Inc.']","(""AMD"" OR ""Advanced Micro Devices"" OR ""AMD Inc."") AND (""earnings"" OR ""revenue"" OR ""guidance"" OR ""lawsuit"" OR ""acquisition"" OR ""merger"" OR ""regulation"" OR ""downgrade"" OR ""layoffs"" OR ""product launch"")"
