company,company_id,ticker,industry,company_url
3D Systems,Q4636301,DDD,3D printing,http://www.wikidata.org/entity/Q4636301
4Kids Entertainment,Q604775,KDE,,http://www.wikidata.org/entity/Q604775
58.com,Q17499083,WUBA,,http://www.wikidata.org/entity/Q17499083
7 Days Inn,Q4643844,,hotel,http://www.wikidata.org/entity/Q4643844
8x8,Q4645515,EGHT,,http://www.wikidata.org/entity/Q4645515
99 Cents Only Stores,Q4646294,NDN,discount store,http://www.wikidata.org/entity/Q4646294
A10 Networks,Q16157155,ATEN,computer network,http://www.wikidata.org/entity/Q16157155
AAR Corp,Q4649932,AIR,aerospace industry,http://www.wikidata.org/entity/Q4649932
ABB Group,Q52825,ABB,electrical engineering,http://www.wikidata.org/entity/Q52825
ABM Industries,Q4650338,ABM,facility management,http://www.wikidata.org/entity/Q4650338
ACCO Brands,Q288129,ACCO,industrial manufacturing,http://www.wikidata.org/entity/Q288129
ADT Inc.,Q290680,ADT,,http://www.wikidata.org/entity/Q290680
AECOM,Q2825507,ACM,construction,http://www.wikidata.org/entity/Q2825507
AGCO,Q292292,AGCO,industrial manufacturing,http://www.wikidata.org/entity/Q292292
AGL Resources,Q25796,GAS,natural gas,http://www.wikidata.org/entity/Q25796
AMC Theatres,Q294721,AMC,entertainment,http://www.wikidata.org/entity/Q294721
AMTD Digital,Q113459125,HKD,fintech,http://www.wikidata.org/entity/Q113459125
APA Corporation,Q119991,APA,petroleum industry,http://www.wikidata.org/entity/Q119991
AUO Corporation,Q300120,AUO,electronics,http://www.wikidata.org/entity/Q300120
AVG Technologies,Q2266483,AVG,software industry,http://www.wikidata.org/entity/Q2266483
AVX Corporation,Q4655072,,electronics,http://www.wikidata.org/entity/Q4655072
AXIS Capital,Q16836218,AXS,reinsurance,http://www.wikidata.org/entity/Q16836218
"Aaron's, Inc.",Q10397787,AAN,furniture,http://www.wikidata.org/entity/Q10397787
Abercrombie & Fitch,Q319344,ANF,retail,http://www.wikidata.org/entity/Q319344
Acadia Realty Trust,Q4671583,AKR,,http://www.wikidata.org/entity/Q4671583
Accolade,Q96791280,ACCD,health technology,http://www.wikidata.org/entity/Q96791280
Accuride Corporation,Q4672920,,,http://www.wikidata.org/entity/Q4672920
Acquity Group,Q4674790,,digital marketing,http://www.wikidata.org/entity/Q4674790
Actavis,Q343204,ACT,pharmaceutical industry,http://www.wikidata.org/entity/Q343204
Actuant,Q4677840,EPAC,conglomerate,http://www.wikidata.org/entity/Q4677840
Acuity Brands,Q4677870,AYI,,http://www.wikidata.org/entity/Q4677870
Acushnet Company,Q344839,GOLF,,http://www.wikidata.org/entity/Q344839
Adams Express Company,Q4680345,ADX,investment,http://www.wikidata.org/entity/Q4680345
Adams Funds,Q105580834,ADX,investment,http://www.wikidata.org/entity/Q105580834
Adams Resources & Energy Inc.,Q19604285,AE,petroleum industry,http://www.wikidata.org/entity/Q19604285
Adecoagro,Q101429880,AGRO,agribusiness,http://www.wikidata.org/entity/Q101429880
Adient,Q26832896,ADNT,,http://www.wikidata.org/entity/Q26832896
Advance America,Q4686044,,,http://www.wikidata.org/entity/Q4686044
Advance Auto Parts,Q4686051,AAP,,http://www.wikidata.org/entity/Q4686051
Advanced Drainage Systems,Q60745531,WMS,,http://www.wikidata.org/entity/Q60745531
Advantage Oil & Gas,Q4686414,AAV,petroleum industry,http://www.wikidata.org/entity/Q4686414
Advantest,Q2722179,ATE,,http://www.wikidata.org/entity/Q2722179
AerCap,Q4687934,AER,financial services,http://www.wikidata.org/entity/Q4687934
Aeroflex,Q4688254,ARX,,http://www.wikidata.org/entity/Q4688254
Aerohive Networks,Q4688284,HIVE,information technology,http://www.wikidata.org/entity/Q4688284
Aerojet Rocketdyne Holdings,Q392445,,,http://www.wikidata.org/entity/Q392445
"Aeva, Inc",Q128050179,AEVA,,http://www.wikidata.org/entity/Q128050179
Affiliated Managers Group,Q25775,AMG,financial services,http://www.wikidata.org/entity/Q25775
Agilent Technologies,Q393762,A,high-performance liquid chromatography,http://www.wikidata.org/entity/Q393762
Agnico Eagle Mines,Q38676,AEM,mining industry,http://www.wikidata.org/entity/Q38676
Agrium,Q397223,AGU,,http://www.wikidata.org/entity/Q397223
Aimco,Q293796,AIV,real estate investment trust,http://www.wikidata.org/entity/Q293796
Air Lease,Q4698062,AL,financial services,http://www.wikidata.org/entity/Q4698062
Air Products & Chemicals,Q407744,APD,,http://www.wikidata.org/entity/Q407744
Aircastle,Q13583352,AYR,aircraft lease,http://www.wikidata.org/entity/Q13583352
Alabama Power,Q4705296,ALP-Q,electric power industry,http://www.wikidata.org/entity/Q4705296
Alamo Group,Q21198484,ALG,,http://www.wikidata.org/entity/Q21198484
Alamos Gold,Q105760370,AGI,,http://www.wikidata.org/entity/Q105760370
Alaska Air Group,Q4033665,ALK,transport,http://www.wikidata.org/entity/Q4033665
Alaska Airlines,Q822614,ALK,,http://www.wikidata.org/entity/Q822614
Albany International,Q23018189,AIN,,http://www.wikidata.org/entity/Q23018189
Alcoa,Q135325,AA,Aluminium production,http://www.wikidata.org/entity/Q135325
Alexander & Baldwin,Q135281,ALEX,conglomerate,http://www.wikidata.org/entity/Q135281
Alexander's,Q4718099,ALX,real estate investment trust,http://www.wikidata.org/entity/Q4718099
Alight Solutions,Q65091232,ALIT,professional service,http://www.wikidata.org/entity/Q65091232
Alleghany Corporation,Q151670,Y,insurance,http://www.wikidata.org/entity/Q151670
Allegheny Technologies,Q1361648,ATI,,http://www.wikidata.org/entity/Q1361648
Allegion,Q16738121,ALLE,,http://www.wikidata.org/entity/Q16738121
Allen-Bradley,Q2648305,,,http://www.wikidata.org/entity/Q2648305
Allergan plc,Q906187,AGN,pharmaceutical industry,http://www.wikidata.org/entity/Q906187
