company,company_id,ticker,industry,company_url,market_cap_2026_01_01
Clarcor,Q16958713,CLC,gas turbine,http://www.wikidata.org/entity/Q16958713,2431250835700.0
GE Aerospace,Q1485061,GE,aerospace industry,http://www.wikidata.org/entity/Q1485061,725228945895.3438
General Electric,Q54173,GE,mechanical engineering,http://www.wikidata.org/entity/Q54173,725228945895.3438
Alibaba Group,Q1359568,BABA,e-commerce,http://www.wikidata.org/entity/Q1359568,436137504203.375
JPMorgan Chase,Q192314,JPM,financial services,http://www.wikidata.org/entity/Q192314,376267341167.34375
Johnson & Johnson,Q333718,JNJ,pharmaceutical industry,http://www.wikidata.org/entity/Q333718,374835221532.77344
ExxonMobil,Q156238,XOM,petroleum industry,http://www.wikidata.org/entity/Q156238,354131746709.85156
Bank of America,Q487907,BAC,financial services,http://www.wikidata.org/entity/Q487907,303681088428.83203
Wells Fargo,Q744149,WFC,financial services,http://www.wikidata.org/entity/Q744149,298754835476.21094
Visa,Q328840,V,financial services,http://www.wikidata.org/entity/Q328840,260737498601.86523
Chevron Corporation,Q319642,CVX,petroleum industry,http://www.wikidata.org/entity/Q319642,239233087065.4297
Procter & Gamble,Q212405,PG,pharmaceutical industry,http://www.wikidata.org/entity/Q212405,229525418198.60352
The Home Depot,Q864407,HD,retail,http://www.wikidata.org/entity/Q864407,221323659107.0039
Verizon Communications,Q467752,VZ,telecommunications,http://www.wikidata.org/entity/Q467752,218492927447.27344
Anheuser-Busch InBev,Q128738,BUD,brewing industry,http://www.wikidata.org/entity/Q128738,216682986827.97656
UnitedHealth Group,Q2103926,UNH,health insurance company,http://www.wikidata.org/entity/Q2103926,212090018571.6084
HSBC,Q190464,HSBC,insurance,http://www.wikidata.org/entity/Q190464,199593247719.65625
Pfizer,Q206921,PFE,pharmaceutical industry,http://www.wikidata.org/entity/Q206921,198641950023.35938
TSMC,Q713418,TSM,semiconductor industry,http://www.wikidata.org/entity/Q713418,197235373606.34766
Citigroup,Q219508,C,bank,http://www.wikidata.org/entity/Q219508,196740049682.6172
The Coca-Cola Company,Q3295867,KO,fast-moving consumer goods,http://www.wikidata.org/entity/Q3295867,195288681144.20312
Toyota,Q53268,TM,automotive industry,http://www.wikidata.org/entity/Q53268,188013203954.01562
AT&T,Q35476,T,telecommunications,http://www.wikidata.org/entity/Q35476,180333901149.81445
Oracle Corporation,Q19900,ORCL,software development,http://www.wikidata.org/entity/Q19900,179094747201.9453
Novartis,Q507154,NVS,chemical industry,http://www.wikidata.org/entity/Q507154,178210359906.23438
PepsiCo,Q334800,PEP,food industry,http://www.wikidata.org/entity/Q334800,170028567485.11914
Boeing,Q66,BA,weapons industry,http://www.wikidata.org/entity/Q66,167474965070.37695
AstraZeneca,Q731938,AZN,pharmaceutical industry,http://www.wikidata.org/entity/Q731938,167074945011.03125
Unilever,Q157062,UL,food industry,http://www.wikidata.org/entity/Q157062,165642963651.6006
Philip Morris International,Q1852556,PM,tobacco industry,http://www.wikidata.org/entity/Q1852556,164095582369.99512
The Walt Disney Company,Q7414,DIS,animation,http://www.wikidata.org/entity/Q7414,159893168696.44727
Mastercard,Q489921,MA,financial services,http://www.wikidata.org/entity/Q489921,157179790212.05957
British American Tobacco,Q856411,BTI,tobacco industry,http://www.wikidata.org/entity/Q856411,148761337684.33984
