company,company_id,exchange,ticker,industry,company_url
,Q315287,New York Stock Exchange,QGEN,biotechnology,http://www.wikidata.org/entity/Q315287
,Q285931,New York Stock Exchange,GLAE,investment,http://www.wikidata.org/entity/Q285931
,Q325789,New York Stock Exchange,JEF,investment,http://www.wikidata.org/entity/Q325789
,Q81230,New York Stock Exchange,SI,electronics,http://www.wikidata.org/entity/Q81230
,Q680841,Nasdaq,SIAL,biotechnology,http://www.wikidata.org/entity/Q680841
,Q160229,New York Stock Exchange,TEF,telecommunications,http://www.wikidata.org/entity/Q160229
,Q624649,Nasdaq,KLAC,electronics,http://www.wikidata.org/entity/Q624649
,Q663452,New York Stock Exchange,TEL,electronics,http://www.wikidata.org/entity/Q663452
,Q465751,New York Stock Exchange,CMG,fast food,http://www.wikidata.org/entity/Q465751
,Q474621,New York Stock Exchange,APH,electronics,http://www.wikidata.org/entity/Q474621
,Q483006,New York Stock Exchange,LPL,electronics,http://www.wikidata.org/entity/Q483006
,Q502121,Nasdaq,BBRY,information technology,http://www.wikidata.org/entity/Q502121
,Q502121,New York Stock Exchange,BB,information technology,http://www.wikidata.org/entity/Q502121
,Q697311,New York Stock Exchange,MGA,automotive industry,http://www.wikidata.org/entity/Q697311
,Q225440,New York Stock Exchange,CLS,electronics,http://www.wikidata.org/entity/Q225440
,Q300120,New York Stock Exchange,AUO,electronics,http://www.wikidata.org/entity/Q300120
,Q460446,Nasdaq,DOX,communication,http://www.wikidata.org/entity/Q460446
,Q460446,New York Stock Exchange,DOX,communication,http://www.wikidata.org/entity/Q460446
,Q621592,Nasdaq,DISCK,mass media,http://www.wikidata.org/entity/Q621592
,Q175106,New York Stock Exchange,THI,fast food,http://www.wikidata.org/entity/Q175106
,Q219508,New York Stock Exchange,C,bank,http://www.wikidata.org/entity/Q219508
,Q745099,New York Stock Exchange,KYO,industrial sector,http://www.wikidata.org/entity/Q745099
,Q734338,Nasdaq,VRSN,telecommunications,http://www.wikidata.org/entity/Q734338
,Q691126,New York Stock Exchange,EDS,information technology industry,http://www.wikidata.org/entity/Q691126
,Q734779,Nasdaq,SCOR,Internet,http://www.wikidata.org/entity/Q734779
,Q583268,New York Stock Exchange,VALE,mining,http://www.wikidata.org/entity/Q583268
,Q625713,New York Stock Exchange,BHP,mining,http://www.wikidata.org/entity/Q625713
,Q691592,Nasdaq,GFS,semiconductor industry,http://www.wikidata.org/entity/Q691592
,Q694872,Nasdaq,TRMD,shipping line,http://www.wikidata.org/entity/Q694872
,Q483915,New York Stock Exchange,NKE,industrial sector,http://www.wikidata.org/entity/Q483915
,Q484117,New York Stock Exchange,WF,finance,http://www.wikidata.org/entity/Q484117
,Q813780,New York Stock Exchange,BDX,biotechnology,http://www.wikidata.org/entity/Q813780
,Q766417,Nasdaq,BUCY,mining,http://www.wikidata.org/entity/Q766417
,Q808908,New York Stock Exchange,GOLD,mining,http://www.wikidata.org/entity/Q808908
,Q612714,Nasdaq,SNRZ,health care,http://www.wikidata.org/entity/Q612714
,Q612714,New York Stock Exchange,SRZ,health care,http://www.wikidata.org/entity/Q612714
,Q650259,New York Stock Exchange,FMS,health care,http://www.wikidata.org/entity/Q650259
,Q215639,Nasdaq,OPRA,marketing,http://www.wikidata.org/entity/Q215639
,Q656165,New York Stock Exchange,HAL,petroleum,http://www.wikidata.org/entity/Q656165
,Q459477,New York Stock Exchange,FDX,logistics,http://www.wikidata.org/entity/Q459477
,Q126559,New York Stock Exchange,bap,insurance,http://www.wikidata.org/entity/Q126559
,Q151670,New York Stock Exchange,Y,insurance,http://www.wikidata.org/entity/Q151670
,Q459965,New York Stock Exchange,CAT,mechanical engineering,http://www.wikidata.org/entity/Q459965
,Q502940,New York Stock Exchange,GD,mechanical engineering,http://www.wikidata.org/entity/Q502940
,Q815327,New York Stock Exchange,BDC,electronics,http://www.wikidata.org/entity/Q815327
,Q654343,Nasdaq,SYNM,engineering,http://www.wikidata.org/entity/Q654343
