company,company_id,exchange,ticker,industry,market_cap,market_cap_date,company_url,revenue,revenue_date
Honda,Q9584,New York Stock Exchange,HMC,industrial manufacturing,,,http://www.wikidata.org/entity/Q9584,14950000000000.0,2022-01-01 00:00:00+00:00
Nissan,Q20165,Nasdaq,NSANY,automotive industry,,,http://www.wikidata.org/entity/Q20165,11951169000000.0,2018-01-01 00:00:00+00:00
Itochu,Q717093,Nasdaq,ITOCY,trade,,,http://www.wikidata.org/entity/Q717093,10362628000000.0,2021-01-01 00:00:00+00:00
Sony Group,Q41187,New York Stock Exchange,SONY,video game industry,137300000000.0,2022-02-01 00:00:00+00:00,http://www.wikidata.org/entity/Q41187,7252766000000.0,2021-03-31 00:00:00+00:00
NTT DoCoMo,Q853958,New York Stock Exchange,DCM,telecommunications,,,http://www.wikidata.org/entity/Q853958,6140000000000.0,2023-01-01 00:00:00+00:00
Canon Inc.,Q62621,New York Stock Exchange,CAJ,electronics,,,http://www.wikidata.org/entity/Q62621,3401000000000.0,2016-01-01 00:00:00+00:00
Micro Focus International,Q1931458,New York Stock Exchange,MFGP,information technology,,,http://www.wikidata.org/entity/Q1931458,3000000000000.0,2021-01-01 00:00:00+00:00
Sinopec,Q831445,New York Stock Exchange,SNP,petroleum industry,,,http://www.wikidata.org/entity/Q831445,2742779810000.0,2018-01-01 00:00:00+00:00
PetroChina Company Limited,Q503182,New York Stock Exchange,PTR,petroleum industry,,,http://www.wikidata.org/entity/Q503182,1725428000000.0,2015-01-01 00:00:00+00:00
TSMC,Q713418,New York Stock Exchange,TSM,semiconductor industry,895821000000.0,2025-05-01 00:00:00+00:00,http://www.wikidata.org/entity/Q713418,1587415037000.0,2021-01-01 00:00:00+00:00
Nomura Group,Q658089,New York Stock Exchange,NMR,,,,http://www.wikidata.org/entity/Q658089,1385492000000.0,2010-01-01 00:00:00+00:00
América Móvil,Q482267,New York Stock Exchange,AMX,telecommunications,,,http://www.wikidata.org/entity/Q482267,816012844000.0,2023-12-31 00:00:00+00:00
América Móvil,Q482267,Nasdaq,AMOV,telecommunications,,,http://www.wikidata.org/entity/Q482267,816012844000.0,2023-12-31 00:00:00+00:00
