company_id,company,article_count
Q1472929,"Nasdaq, Inc.",1524
Q312,Apple Inc.,684
Q3884,Amazon,587
Q95,Google,515
Q66,Boeing,434
Q193326,Goldman Sachs,409
Q334204,Morgan Stanley,394
Q2283,Microsoft,371
Q66048,Deutsche Bank,343
Q2529982,The New York Times Company,283
Q768773,MSCI,278
Q478214,Tesla,274
Q372657,Credit Suisse,258
Q20800404,Alphabet Inc.,245
Q193199,UBS,241
Q81965,General Motors,232
Q190464,HSBC,225
Q219508,Citigroup,220
Q35476,AT&T,212
Q245343,Barclays plc,187
Q1129792,The Cooper Companies,186
Q483551,Walmart,178
Q950380,CBS Corporation,174
Q26678,BMW Group,173
Q54173,General Electric,171
Q1113804,Comcast,166
Q248,Intel,163
Q29739,International,157
Q544847,Qualcomm,148
Q154950,Shell,140
Q53268,Toyota,137
Q37156,IBM,132
Q108770716,Samsara,131
Q157062,Unilever,127
Q116452644,"Netflix, Inc.",119
Q744149,Wells Fargo,118
Q333718,Johnson & Johnson,115
Q675585,Moody's Corporation,112
Q780442,Uber,111
Q487907,Bank of America,109
Q44294,Ford Motor Company,108
Q319642,Chevron Corporation,108
Q13218598,NatWest Group,107
Q880942,Blackstone Group,105
Q1359568,Alibaba Group,103
Q17145596,Tesco Corporation,101
Q219635,BlackRock,100
Q507154,Novartis,100
Q81230,Siemens,100
Q207983,Monsanto,97
Q470156,Cencora,96
Q1023876,CME Group,88
Q731938,AstraZeneca,87
Q2837996,Alliance Data,85
Q27530,Mercedes-Benz Group,82
Q9584,Honda,82
Q22243729,Ferrari,82
Q1655409,Iamgold,81
Q1046951,Target Corporation,80
Q5095516,Chicago Bridge & Iron Company,79
Q4972280,Broadridge Financial Solutions,78
Q5439999,Federal Agricultural Mortgage Corporation,76
Q1152764,Lloyds Banking Group,75
Q122141,Vodafone,73
Q188920,Delta Air Lines,72
Q20165,Nissan,72
Q301965,Sprint Corporation,71
Q37158,Starbucks,70
Q459965,Caterpillar,70
Q15678788,Fiat Chrysler Automobiles,68
Q9396,Deutsche Telekom,67
Q38076,McDonald's,65
Q14772,Baidu,64
Q905049,Shire plc,63
Q467752,Verizon Communications,63
Q30635731,"Cboe Global Markets, Inc.",63
Q170614,Ryanair,62
Q41187,Sony Group,62
Q212322,GSK,61
Q552581,SAP,60
Q1418,Nokia,60
Q1961658,NV Energy,59
Q266423,Bristol-Myers Squibb,59
Q127278673,LinkedIn Corporation,59
Q192314,JPMorgan Chase,58
Q625713,BHP,57
Q58024,eBay,56
Q27893,ArcelorMittal,56
Q6049324,International Coal Group,55
Q735261,Royal Bank of Canada,55
Q212405,Procter & Gamble,54
Q7893563,Essendant,54
Q214346,Viacom,54
Q144617,TIM Group,53
Q483915,Nike,53
Q156238,ExxonMobil,53
Q206921,Pfizer,52
Q27988145,Post Holdings,52
Q734779,Comscore,49
Q898750,Teva Pharmaceutical Industries Ltd.,49
Q470517,Amgen,49
Q503308,Southwest Airlines,48
Q194360,American Express,48
Q619121,Apollo Global Management,47
Q334800,PepsiCo,47
Q19923099,Hewlett Packard Enterprise,47
Q407237,Air France-KLM,47
Q458363,Marathon Petroleum,47
Q856411,British American Tobacco,46
Q5184408,Crescent Point Energy,46
