company_1,company_2,article_count
Amazon,Google,108
Goldman Sachs,Morgan Stanley,58
Google,Microsoft,55
Citigroup,Morgan Stanley,55
Amazon,Walmart,50
Broadcom,Qualcomm,48
Amazon,Microsoft,45
Credit Suisse,Morgan Stanley,44
Deutsche Bank,Morgan Stanley,43
Citigroup,Credit Suisse,43
Deutsche Bank,UBS,40
Deutsche Bank,Goldman Sachs,40
Credit Suisse,Deutsche Bank,36
Credit Suisse,UBS,31
Citigroup,Goldman Sachs,31
Broadridge Financial Solutions,Citigroup,30
HSBC,UBS,29
Credit Suisse,Goldman Sachs,27
IBM,Microsoft,27
Citigroup,Deutsche Bank,27
Boeing,Southwest Airlines,25
Goldman Sachs,HSBC,25
Intel,Microsoft,24
Amazon,Morgan Stanley,24
Honda,Toyota,23
Goldman Sachs,UBS,23
Boeing,General Electric,23
Amazon,eBay,22
AT&T,Comcast,21
BP,Shell,21
Google,Intel,20
Deutsche Bank,HSBC,19
Morgan Stanley,UBS,18
Broadridge Financial Solutions,Morgan Stanley,18
Citigroup,Wells Fargo,17
Bank of America,Citigroup,17
Amazon,Whole Foods Market,17
Google,Unilever,16
Morgan Stanley,Wells Fargo,16
AT&T,Google,16
Boeing,Caterpillar,16
HSBC,Lloyds Banking Group,16
HSBC,Morgan Stanley,16
Broadridge Financial Solutions,Credit Suisse,15
Grab,Uber,15
AMD,Intel,15
Bank of America,Morgan Stanley,15
Bank of America,Goldman Sachs,14
Citigroup,UBS,14
Canadian Imperial Bank of Commerce,Royal Bank of Canada,14
Royal Bank of Canada,Toronto-Dominion Bank,14
Ferrari,Honda,14
Google,IBM,13
GSK,Gilead Sciences,13
American Airlines,United Airlines,13
Goldman Sachs,JPMorgan Chase,13
Procter & Gamble,Unilever,12
Google,Tesla,12
American Airlines,Boeing,12
Morgan Stanley,Unilever,12
AstraZeneca,Bristol-Myers Squibb,12
Air France-KLM,Delta Air Lines,12
Google,Walmart,12
Deutsche Telekom,Vodafone,12
AT&T,Amazon,11
Intel,Mobileye,11
Amazon,Tesla,11
Canadian Imperial Bank of Commerce,Toronto-Dominion Bank,11
Bank of America,Wells Fargo,10
Citigroup,JPMorgan Chase,10
MSCI,Microsoft,10
BHP,Rio Tinto,10
Delta Air Lines,United Airlines,10
Nissan,Toyota,10
BP,Goldman Sachs,10
Boeing,United Airlines,9
Amazon,MSCI,9
Boeing,Delta Air Lines,9
Shell,Unilever,9
JPMorgan Chase,Morgan Stanley,9
Hasbro,Mattel,9
General Electric,Southwest Airlines,9
AstraZeneca,GSK,9
Credit Suisse,HSBC,9
Morgan Stanley,Walmart,8
ISS,Tesla,8
British American Tobacco,UBS,8
Enbridge,Royal Bank of Canada,8
Intel,Qualcomm,8
Goldman Sachs,Wells Fargo,8
Baidu,Google,8
Boeing,Hawaiian Airlines,8
Royal Bank of Canada,Sun Life Financial,8
British American Tobacco,HSBC,8
Canadian Imperial Bank of Commerce,Sun Life Financial,8
Morgan Stanley,Royal Bank of Canada,8
Amazon,Goldman Sachs,8
Amazon,Kroger,8
Amazon,Intel,8
Microsoft,Morgan Stanley,8
Google,SAP,8
Microsoft,SAP,8
General Motors,Toyota,8
Bank of America,Credit Suisse,8
British American Tobacco,Unilever,7
Broadcom,Morgan Stanley,7
Broadcom,NXP Semiconductors,7
Manulife Financial,Royal Bank of Canada,7
Nokia,Vodafone,7
Broadcom,Intel,7
JPMorgan Chase,Wells Fargo,7
Liberty Global,Vodafone,7
Honda,Nissan,7
Unilever,Vodafone,7
American Airlines,Hawaiian Airlines,7
ArcelorMittal,Siemens,7
Boeing,Embraer,7
Deutsche Telekom,Liberty Global,7
SAP,Siemens,7
DowDuPont,DuPont,7
Amazon,Credit Suisse,7
Amazon,Deutsche Bank,7
AMD,Microsoft,7
AT&T,Intel,7
Kraft Heinz,Unilever,7
Bank of America,Deutsche Bank,7
Credit Suisse,JPMorgan Chase,7
AMD,Google,7
Canadian Natural Resources,Suncor Energy,7
Goldman Sachs,MSCI,7
AstraZeneca,Gilead Sciences,7
American Airlines,Delta Air Lines,7
BlackRock,Credit Suisse,6
Deutsche Bank,MSCI,6
Deutsche Bank,Wells Fargo,6
Rio Tinto,Turquoise Hill Resources,6
Canadian Imperial Bank of Commerce,Enbridge,6
MSCI,Unilever,6
Google,Morgan Stanley,6
Royal Bank of Canada,TransAlta Corporation,6
Manulife Financial,TransAlta Corporation,6
Manulife Financial,Sun Life Financial,6
Enbridge,TransAlta Corporation,6
Enbridge,Sun Life Financial,6
Enbridge,Manulife Financial,6
Canadian Imperial Bank of Commerce,TransAlta Corporation,6
AT&T,Morgan Stanley,6
Sun Life Financial,TransAlta Corporation,6
Sun Life Financial,Toronto-Dominion Bank,6
Goldman Sachs,Royal Bank of Canada,6
Google,eBay,6
Boeing,MSCI,6
Canadian Imperial Bank of Commerce,Manulife Financial,6
NXP Semiconductors,Qualcomm,6
Amazon,Comcast,6
GSK,Novartis,6
AT&T,Microsoft,6
Kroger,Walmart,6
Amazon,Instacart,6
Google,Procter & Gamble,6
HSBC,Unilever,6
Bank of America,JPMorgan Chase,6
Deutsche Bank,JPMorgan Chase,6
BlackRock,Goldman Sachs,6
Credit Suisse,Wells Fargo,6
Citigroup,HSBC,5
Morgan Stanley,Tesla,5
Google,UBS,5
Walmart,eBay,5
Amazon,Sears,5
ExxonMobil,Shell,5
Boeing,Nucor,5
Amazon,FactSet,5
MSCI,UBS,5
Google,MSCI,5
Credit Suisse,Microsoft,5
Blackstone Group,Citigroup,5
Deutsche Bank,Microsoft,5
Broadcom,Deutsche Bank,5
Amazon,JD.com,5
Amazon,IBM,5
Deutsche Bank,Royal Bank of Canada,5
Ferrari,Fiat Chrysler Automobiles,5
Morgan Stanley,Qualcomm,5
Johnson & Johnson,Novartis,5
Baidu,Bilibili,5
Deutsche Bank,Qualcomm,5
Amazon,Citigroup,5
ConocoPhillips,Shell,5
Amazon,Wells Fargo,5
Goldman Sachs,Microsoft,5
Royal Bank of Canada,Wells Fargo,5
Carlyle Group,PPG Industries,5
HSBC,MSCI,5
Nucor,U.S. Steel,5
AT&T,Novartis,5
Morgan Stanley,Scotiabank,5
Goldman Sachs,IBM,4
Walmart,Whole Foods Market,4
AstraZeneca,Novartis,4
Amazon,Blink,4
Broadcom,Wells Fargo,4
Royal Bank of Canada,Scotiabank,4
Toyota,Uber,4
Shell,UBS,4
Amazon,Humana,4
Morgan Stanley,eBay,4
Boardwalk Pipeline Partners,Loews Corporation,4
Siemens,Unilever,4
Dow Jones Industrial Average,Nike,4
Credit Suisse,Unilever,4
Deutsche Bank,Scotiabank,4
Citigroup,Scotiabank,4
Citigroup,Qualcomm,4
Broadcom,Citigroup,4
CME Group,RELX,4
Amazon,Deutsche Telekom,4
Deutsche Telekom,SAP,4
Microsoft,Salesforce,4
Deutsche Bank,Deutsche Telekom,4
Citigroup,IBM,4
General Motors,Nissan,4
Eversource Energy,SJW Group,4
AT&T,IBM,4
Deutsche Telekom,Siemens,4
HSBC,Hewlett Packard Enterprise,4
UBS,Unilever,4
Air France-KLM,HSBC,4
Astra,AstraZeneca,4
IBM,Morgan Stanley,4
Morgan Stanley,Siemens,4
HSBC,Tesla,4
IBM,Motorola,4
HSBC,Shell,4
IBM,Unilever,4
Johnson & Johnson,Sanofi,4
HSBC,Royal Bank of Canada,4
Amazon,JPMorgan Chase,4
Qualcomm,Scotiabank,4
Qualcomm,Wells Fargo,4
Deutsche Bank,Siemens,4
DowDuPont,Monsanto,4
Citigroup,Lehman Brothers,4
CACI,General Dynamics,4
General Electric,Wabtec,4
General Motors,Tesla,4
General Electric,Siemens,4
Scotiabank,Wells Fargo,4
British American Tobacco,Deutsche Bank,4
Bank of America,U.S. Bancorp,4
Goldman Sachs,Shell,4
Goldman Sachs,Vodafone,4
Accenture,Google,4
Dell Technologies,VMware,4
BP,UBS,4
MSCI,Shell,4
Tesla,UBS,4
AT&T,Verizon Communications,4
Broadcom,Scotiabank,4
Costco,Walmart,4
FactSet,Tesla,4
GSK,Mylan,4
Intel,Tesla,4
Goldman Sachs,Lazard,4
Citigroup,RELX,4
CME Group,Citigroup,4
Microsoft,Nokia,4
Credit Suisse,Google,4
Tesla,Toyota,4
Boeing,Ryanair,4
IBM,Intel,4
MSCI,Morgan Stanley,4
Comcast,Liberty Global,4
Amgen,Express Scripts,3
BP,MSCI,3
Blink,Netgear,3
Amazon,Netgear,3
Amazon,Hasbro,3
Sears,Sears Holdings Corporation,3
SolarCity,Tesla,3
IBM,MSCI,3
Lehman Brothers,Morgan Stanley,3
Bank of America,Fifth Third Bancorp,3
Boeing,Microsoft,3
Alaska Airlines,Delta Air Lines,3
General Mills,General Motors,3
Instacart,Intel,3
Google,Uber,3
Bristol-Myers Squibb,Novartis,3
Amazon,Safeway,3
Citigroup,Google,3
Costco,Kroger,3
Shell,Vodafone,3
BHP,Shell,3
GSK,Pfizer,3
AstraZeneca,Unilever,3
Hawaiian Airlines,United Airlines,3
Royal Bank of Canada,Suncor Energy,3
UBS,Wells Fargo,3
McDonald's,Nissan,3
ISS,Qualcomm,3
Ford Motor Company,Unilever,3
Goldman Sachs,Google,3
Morgan Stanley,Starbucks,3
BlackRock,Deutsche Bank,3
HSBC,Scotiabank,3
AT&T,Citigroup,3
Deutsche Bank,Lazard,3
BP,ExxonMobil,3
AT&T,Viacom,3
Novartis,Unilever,3
Microsoft,Motorola,3
DuPont,FMC Corporation,3
Lehman Brothers,Microsoft,3
AstraZeneca,Credit Suisse,3
Canadian Imperial Bank of Commerce,Scotiabank,3
IBM,SAP,3
Bristol-Myers Squibb,Johnson & Johnson,3
Bristol-Myers Squibb,Deutsche Bank,3
MGM Resorts International,Wynn Resorts,3
Abercrombie & Fitch,Starbucks,3
AstraZeneca,Deutsche Bank,3
JPMorgan Chase,MSCI,3
General Mills,Kimberly-Clark,3
AT&T,Xerox,3
AstraZeneca,BP,3
Mobileye,Tesla,3
Amazon,NetApp,3
Baidu,Goldman Sachs,3
Lazard,Siemens,3
Mitsubishi UFJ Financial Group,Mizuho Financial Group,3
Deutsche Telekom,Nokia,3
General Motors,Kimberly-Clark,3
Goldman Sachs,Uber,3
Bank of America,Visa,3
BP,British American Tobacco,3
Comcast,Unilever,3
News Corp,News Corporation,3
BP,Unilever,3
First Financial Bancorp,First Financial Bank,3
ConocoPhillips,Marathon Oil,3
BlackRock,HSBC,3
Intel,SAP,3
Deutsche Telekom,Google,3
LifeLock,United Airlines,3
LifeLock,Visa,3
United Airlines,Visa,3
Instacart,Microsoft,3
Delta Air Lines,LifeLock,3
Instacart,Mobileye,3
Bank of America,SunTrust Banks,3
American Express,Bank of America,3
British American Tobacco,Hewlett Packard Enterprise,3
BP,HSBC,3
Toronto-Dominion Bank,TransAlta Corporation,3
Bank of America,HSBC,3
Amazon,Boeing,3
Juniper Networks,Microsoft,3
Essendant,Genuine Parts Company,3
Mitsubishi UFJ Financial Group,Sumitomo Mitsui Financial Group,3
Apollo Global Management,Comcast,3
Gartner,Google,3
Boeing,Morgan Stanley,3
BP,Morgan Stanley,3
Hewlett Packard Enterprise,SAP,3
Goldman Sachs,Unilever,3
Microsoft,Mobileye,3
Post Consumer Brands,Post Holdings,3
Goldman Sachs,Salesforce,3
Amazon,SAP,3
Delta Air Lines,Visa,3
Amazon,Unilever,3
Comcast,Google,3
Gold Fields,Sibanye-Stillwater,3
Microsoft,Unilever,3
AMD,Nvidia,3
Manulife Financial,Toronto-Dominion Bank,3
Accenture,Unilever,3
Citigroup,U.S. Bancorp,3
Fifth Third Bancorp,Morgan Stanley,3
Enbridge,Toronto-Dominion Bank,3
Deutsche Bank,Vodafone,3
Comcast,The Walt Disney Company,3
American Express,Visa,3
Goldman Sachs,Intel,3
Broadridge Financial Solutions,Goldman Sachs,3
Blackstone Group,Credit Suisse,3
Blackstone Group,Morgan Stanley,3
Coinbase,Google,3
American Airlines,Southwest Airlines,3
SunTrust Banks,U.S. Bancorp,3
Mondelez International,Unilever,3
Johnson & Johnson,Pfizer,3
Deutsche Bank,Unilever,3
Intel,Texas Instruments,3
British American Tobacco,Randgold Resources,3
Morgan Stanley,SunTrust Banks,3
Morgan Stanley,U.S. Bancorp,3
Caterpillar,Microsoft,3
Blackstone Group,Deutsche Bank,3
Citigroup,Royal Bank of Canada,3
General Electric,Lafarge,3
Lafarge,Siemens,3
Wyndham Hotels & Resorts,Wyndham Worldwide,3
Hewlett Packard Enterprise,Micro Focus International,3
Microsoft,VMware,3
General Electric,Genworth Financial,3
Ferrari,Liberty Media,3
Mylan,Pfizer,3
AT&T,Walmart,3
Comcast,Deutsche Telekom,3
Amgen,Johnson & Johnson,3
British American Tobacco,Philip Morris International,3
Boeing,General Dynamics,3
Credit Suisse,Shell,2
Dell EMC,VMware,2
IBM,VMware,2
Credit Suisse,Virtu Financial,2
Amazon,Coach,2
Coach,Microsoft,2
Coach,SAP,2
Flagstar Bancorp,Flagstar Bank,2
Broadridge Financial Solutions,The Hershey Company,2
Microsoft,Walmart,2
Ameriprise Financial,Amphenol,2
Tesla,Uber,2
Nvidia,Uber,2
Nvidia,Tesla,2
Baidu,Uber,2
Baidu,Tesla,2
Baidu,Nvidia,2
Alaska Airlines,Virgin America,2
AstraZeneca,Goldman Sachs,2
Goldman Sachs,Sanofi,2
GSK,Johnson & Johnson,2
Credit Suisse,DuPont,2
Citigroup,Unilever,2
Citigroup,Kraft Heinz,2
Citigroup,DuPont,2
KCG Holdings,Virtu Financial,2
Google,Salesforce,2
Microsoft,Vodafone,2
General Motors,Kellogg’s,2
General Mills,Kellogg’s,2
Alibaba Group,Qualcomm,2
Microsoft,NetApp,2
Bank of America,BlackRock,2
Boeing,United Parcel Service,2
Siemens,UBS,2
Johnson & Johnson,Kimberly-Clark,2
IBM,Johnson & Johnson,2
AT&T,Visa,2
Intel,Xerox,2
Amazon,Vodafone,2
Bank of America,Canadian Imperial Bank of Commerce,2
Amazon,PepsiCo,2
Braskem,Petrobras,2
IBM,Ribbon Communications,2
American Express,IBM,2
Amazon,RadioShack,2
Boeing,Dow Jones Industrial Average,2
Nvidia,Toyota,2
Intel,Morgan Stanley,2
First Solar,Shell,2
Bank of America,Toronto-Dominion Bank,2
Bank of America,Sun Life Financial,2
Bank of America,Royal Bank of Canada,2
Nokia,Siemens,2
