source,target,weight,source_name,target_name
Q312,Q95,126,Apple Inc.,Google
Q312,Q3884,119,Apple Inc.,Amazon
Q3884,Q95,108,Amazon,Google
Q20800404,Q95,108,Alphabet Inc.,Google
Q2283,Q312,88,Microsoft,Apple Inc.
Q2283,Q95,86,Microsoft,Google
Q193326,Q334204,69,Goldman Sachs,Morgan Stanley
Q2283,Q3884,66,Microsoft,Amazon
Q219508,Q334204,63,Citigroup,Morgan Stanley
Q3884,Q483551,61,Amazon,Walmart
Q20800404,Q2283,57,Alphabet Inc.,Microsoft
Q20800404,Q312,56,Alphabet Inc.,Apple Inc.
Q334204,Q372657,45,Morgan Stanley,Credit Suisse
Q334204,Q66048,45,Morgan Stanley,Deutsche Bank
Q193326,Q66048,45,Goldman Sachs,Deutsche Bank
Q219508,Q372657,45,Citigroup,Credit Suisse
Q193199,Q66048,43,UBS,Deutsche Bank
Q193326,Q219508,42,Goldman Sachs,Citigroup
Q44294,Q81965,42,Ford Motor Company,General Motors
Q1113804,Q35476,41,Comcast,AT&T
Q20800404,Q81965,41,Alphabet Inc.,General Motors
Q372657,Q66048,39,Credit Suisse,Deutsche Bank
Q2283,Q248,39,Microsoft,Intel
Q15678788,Q81965,39,Fiat Chrysler Automobiles,General Motors
Q248,Q312,38,Intel,Apple Inc.
Q214346,Q950380,38,Viacom,CBS Corporation
Q2283,Q37156,34,Microsoft,IBM
Q26678,Q27530,33,BMW Group,Mercedes-Benz Group
Q20800404,Q3884,33,Alphabet Inc.,Amazon
Q35476,Q467752,33,AT&T,Verizon Communications
Q1472929,Q3884,33,"Nasdaq, Inc.",Amazon
Q193199,Q372657,32,UBS,Credit Suisse
Q1472929,Q312,31,"Nasdaq, Inc.",Apple Inc.
Q105557,Q66,31,Embraer,Boeing
Q1472929,Q768773,30,"Nasdaq, Inc.",MSCI
Q219508,Q487907,30,Citigroup,Bank of America
Q190464,Q193199,30,HSBC,UBS
Q54173,Q66,30,General Electric,Boeing
Q1472929,Q2283,30,"Nasdaq, Inc.",Microsoft
Q219508,Q4972280,30,Citigroup,Broadridge Financial Solutions
Q312,Q544847,30,Apple Inc.,Qualcomm
Q478214,Q81965,29,Tesla,General Motors
Q193326,Q372657,29,Goldman Sachs,Credit Suisse
Q219508,Q66048,29,Citigroup,Deutsche Bank
Q26678,Q81965,28,BMW Group,General Motors
Q154950,Q319642,28,Shell,Chevron Corporation
Q193326,Q487907,28,Goldman Sachs,Bank of America
Q1141267,Q880942,27,Thomson Reuters,Blackstone Group
Q503308,Q66,27,Southwest Airlines,Boeing
Q20800404,Q35476,26,Alphabet Inc.,AT&T
Q245343,Q66048,26,Barclays plc,Deutsche Bank
Q193199,Q193326,26,UBS,Goldman Sachs
Q190464,Q193326,26,HSBC,Goldman Sachs
Q1046951,Q483551,26,Target Corporation,Walmart
Q334204,Q3884,25,Morgan Stanley,Amazon
Q3884,Q58024,25,Amazon,eBay
Q1113804,Q116452644,25,Comcast,"Netflix, Inc."
Q248,Q95,25,Intel,Google
Q54173,Q804353,24,General Electric,Baker Hughes
